通知人,标题,日期,详情链接,附件名,附件下载次数,附件链接码
【教学运行】,关于2024-2025学年第二学期《大学英语（二）》、《大学英语（四）》课程期末考试安排的通知,2025-06-10,https://jwch.fzu.edu.cn/info/1036/14107.htm,2402大学英语四期末考-6.20上午.xlsx; 2402大学英语二期末考-6.28下午.xlsx,409; 468,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16478613; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16478612
【教材中心】,关于组织申报2025年度教育部大中小课程教材研究项目的通知,2025-06-06,https://jwch.fzu.edu.cn/info/1042/14105.htm,附件1.教育部办公厅关于组织申报2025年度教育部大中小学课程教材研究项目的通知.pdf; 附件2.教育部大中小学课程教材研究项目2025年度重大项目和重点项目选题指南.docx; 附件3.教育部大中小学课程教材研究项目2025年度申报书.docx; 附件4.2025年度教育部大中小学课程教材研究项目推荐汇总表.xlsx,805; 934; 501; 399,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16477964; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16477965; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16477966; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16477967
【质量办】,关于上报学院院级本科教育教学相关规章制度的通知,2025-06-03,https://jwch.fzu.edu.cn/info/1040/14098.htm,无附件,0,无
【教学通知】,关于上报学院院级本科教育教学相关规章制度的通知,2025-06-03,https://jwch.fzu.edu.cn/info/1012/14097.htm,无附件,0,无
【教学运行】,关于2024-2025学年第二学期《马克思主义基本原理》、《毛泽东思想和中国特色社会主义理论体系概论》和《思想道德与法治》课程期末考试安排的通知,2025-06-03,https://jwch.fzu.edu.cn/info/1036/14095.htm,2402德法随堂考.xlsx; 2402马原随堂考.xlsx; 2402毛概随堂考.xlsx,460; 520; 500,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16230472; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16230473; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16230471
【实践科】,关于公布第十一届桥梁设计大赛获奖名单的通知,2025-05-30,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14092,无附件,0,无
【实践科】,关于公布第九届网络信息安全竞赛获奖名单的通知,2025-05-30,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14091,无附件,0,无
【质量办】,关于举办福州大学第七十一场“教学有道”研讨活动的通知,2025-05-29,https://jwch.fzu.edu.cn/info/1040/14090.htm,无附件,0,无
【教学运行】,福州大学关于印发本科生转专业管理实施办法的通知,2025-05-28,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=14089,无附件,0,无
【实践科】,关于开展大学生校外实践教学基地抽检工作的通知,2025-05-28,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14086,无附件,0,无
【教学运行】,关于2025年端午节放假课程调整的通知,2025-05-27,https://jwch.fzu.edu.cn/info/1036/14084.htm,无附件,0,无
【教学运行】,关于2024-2025学年第二学期《概率论与数理统计》课程期末考试安排的通知,2025-05-27,https://jwch.fzu.edu.cn/info/1036/14081.htm,2402概率-6.8下午.xlsx,453,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16228788
【质量办】,关于举办福州大学第七十场“教学有道”暨第三期智慧教学课程平台与AI智慧教学工具培训的通知,2025-05-26,https://jwch.fzu.edu.cn/info/1040/14076.htm,无附件,0,无
【实践科】,福州大学关于修订印发《本科生毕业设计（论文）规范使用AI工具的规定》的通知,2025-05-22,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14075,无附件,0,无
【教学运行】,关于2024-2025学年第二学期《工程制图C（下）》、《工程制图D》、《工程制图F》课程期末考试安排的通知,2025-05-22,https://jwch.fzu.edu.cn/info/1036/14072.htm,2402工程制图C（下）、D、F期末考-6.8上午.xlsx,509,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15786264
【实践科】,关于评选福州大学2025届本科生优秀毕业设计（论文）的通知,2025-05-21,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14070,无附件,0,无
【综合科】,关于2024-2025学年第二学期再次开放本科生学生证补办和火车票优惠区间更改的通知,2025-05-20,https://jwch.fzu.edu.cn/info/1035/14068.htm,无附件,0,无
【教材中心】,关于做好2025-2026学年第一学期教材选用与征订工作的通知,2025-05-16,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=14061,无附件,0,无
【教学运行】,关于2024-2025学年第二学期《中国近现代史纲要》课程期末考试安排的通知,2025-05-15,https://jwch.fzu.edu.cn/info/1036/14060.htm,2402史纲随堂考.xlsx,733,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15785065
【实践科】,关于组织申报2025年本科生开放探索性实验项目（课程）的通知,2025-05-15,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14059,无附件,0,无
【实践科】,关于开展2023年本科生开放探索性实验项目（课程）结题验收工作的通知,2025-05-15,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14058,无附件,0,无
【教学运行】,关于2024-2025学年第二学期2023级、2024级体育理论教室安排的通知,2025-05-14,https://jwch.fzu.edu.cn/info/1036/14055.htm,无附件,0,无
【质量办】,关于举办福州大学第六十九期“教学有道”研讨活动的通知,2025-05-14,https://jwch.fzu.edu.cn/info/1040/14054.htm,无附件,0,无
【教学运行】,关于2024-2025学年第二学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,2025-05-12,https://jwch.fzu.edu.cn/info/1036/14053.htm,2402习概随堂考.xlsx,525,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15784368
【教学运行】,关于2024-2025学年第二学期计算机语言类课程期末考试安排的通知,2025-05-12,https://jwch.fzu.edu.cn/info/1036/14052.htm,2402计算机语言类期末考-5.24.xlsx,791,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15784367
【教学运行】,关于2024-2025学年第二学期《线性代数》、《线性代数与解析几何》课程期末考试安排的通知,2025-05-12,https://jwch.fzu.edu.cn/info/1036/14051.htm,2402线性代数、线性代数与解析几何期末考-5.25下午.xlsx,572,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15784365
【实践科】,关于做好2023年、2024年本科生科研训练计划项目结题工作的通知,2025-05-12,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14050,无附件,0,无
【计划科】,关于组织申报2025-2026学年第一学期通识教育选修课的通知,2025-05-12,https://jwch.fzu.edu.cn/info/1038/14048.htm,无附件,0,无
【实践科】,关于公布第十五届大学生节能减排社会实践与科技竞赛暨第十一届材料创新、设计及应用竞赛获奖名单的通知,2025-05-09,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14045,无附件,0,无
【质量办】,关于开展2025年度教师本科教学综合测评工作的通知,2025-05-09,https://jwch.fzu.edu.cn/info/1040/14044.htm,附件1-7.docx,1290,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15783740
【教学通知】,关于开展2025年度教师本科教学综合测评工作的通知,2025-05-09,https://jwch.fzu.edu.cn/info/1012/14043.htm,关于开展2025年度教师本科教学综合测评工作的通知.doc,772,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15783736
【教研教改】,福州大学关于公布2023级数理综合班 专业分流学生名单及学科导师名单的通知,2025-05-09,https://jwch.fzu.edu.cn/info/1037/14042.htm,无附件,0,无
【计划科】,2024-2025学年第二学期在校学生申请辅修专业的通知,2025-05-06,https://jwch.fzu.edu.cn/info/1038/14038.htm,无附件,0,无
【质量办】,关于举办福州大学第六十八场“教学有道”暨第二期智慧教学课程平台与AI智慧教学工具培训的通知,2025-05-06,https://jwch.fzu.edu.cn/info/1040/14037.htm,无附件,0,无
【实践科】,关于举办2025年福州大学第二十五届数学竞赛暨第十七届全国大学生数学竞赛福建赛区选拔赛的通知,2025-04-30,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14034,无附件,0,无
【实践科】,关于公布2025年（总第三十一期）本科生科研训练计划立项项目的通知,2025-04-30,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14033,无附件,0,无
【质量办】,关于期中党政领导集中听课的通知,2025-04-27,https://jwch.fzu.edu.cn/info/1040/14032.htm,附件1：福州大学课堂教学质量评估表.doc; 附件2：第10-12周课表.xlsx,399; 691,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15781690; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15781691
【实践科】,福州大学关于公布第二十二届程序设计竞赛获奖名单的通知,2025-04-24,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14020,无附件,0,无
【实践科】,关于开展2025届本科毕业设计（论文）抽检送审工作的通知,2025-04-24,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14018,无附件,0,无
【质量办】,关于福州大学第六十八场“教学有道”研讨活动延期举行的通知,2025-04-24,https://jwch.fzu.edu.cn/info/1040/14017.htm,无附件,0,无
【教学运行】,关于2025年劳动节放假课程调整的通知,2025-04-24,https://jwch.fzu.edu.cn/info/1036/14016.htm,无附件,0,无
【教学运行】,关于2024-2025学年第二学期《工程制图E》课程期末考试安排的通知,2025-04-23,https://jwch.fzu.edu.cn/info/1036/14012.htm,2402工程制图E期末考-5.18上午.xlsx,511,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15780905
【质量办】,关于举办福州大学第六十八场“教学有道”研讨活动的通知,2025-04-23,https://jwch.fzu.edu.cn/info/1040/14011.htm,无附件,0,无
【实践科】,关于举办福州大学第九届网络信息安全竞赛的通知,2025-04-22,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14010,无附件,0,无
【实践科】,关于组织申报2025年大学生劳动教育实践基地的通知,2025-04-22,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14008,无附件,0,无
【教学运行】,关于2024-2025学年第二学期《高等数学A（中）》、《高等数学B（下）》、《高等数学C（下）》课程半期考试安排的通知,2025-04-22,https://jwch.fzu.edu.cn/info/1036/14007.htm,2402高数半期考-5.11下午.xlsx,788,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15780740
【质量办】,关于开展2025届本科毕业生在校学习体验调研的通知,2025-04-22,https://jwch.fzu.edu.cn/info/1040/14006.htm,无附件,0,无
【教学通知】,关于开展2025届本科毕业生在校学习体验调研的通知,2025-04-22,https://jwch.fzu.edu.cn/info/1012/14005.htm,无附件,0,无
【教学运行】,关于2026届预计毕业生核对电子注册学历信息的通知,2025-04-17,https://jwch.fzu.edu.cn/info/1036/14002.htm,无附件,0,无
【实践科】,关于举办2025年福州大学大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛的通知,2025-04-16,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13999,无附件,0,无
【质量办】,关于举办福州大学第六十七场“教学有道”研讨活动——暨2025年全国周培源大学生力学竞赛进校园活动的通知,2025-04-16,https://jwch.fzu.edu.cn/info/1040/13997.htm,无附件,0,无
【实践科】,关于举办福州大学第十五届大学生节能减排社会实践与科技竞赛暨第十一届材料创新、设计及应用竞赛的通知,2025-04-15,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13995,无附件,0,无
【实践科】,关于举办福州大学第十九届数学建模竞赛暨2025年“高教社杯”全国大学生数学建模竞赛选拔赛的通知,2025-04-14,https://jwch.fzu.edu.cn/info/1039/13993.htm,附件.zip,615,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15775875
【教材中心】,2025年福建省高校教材联合巡展 （福州大学）活动通知,2025-04-11,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13991,无附件,0,无
【教学运行】,关于2024-2025学年第二学期《线性代数》课程半期考试安排的通知,2025-04-11,https://jwch.fzu.edu.cn/info/1036/13989.htm,2402线代半期考-4.26晚上.xlsx,583,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15775021
【教学运行】,关于2025届预计毕业生补拍电子注册学历照片的通知,2025-04-10,https://jwch.fzu.edu.cn/info/1036/13988.htm,附件3：获得图像采集码途径.pdf; 附件1：行政北楼平面图.pdf; 附件2：证件照拍摄要求.pdf,841; 747; 3326,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15774886; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15774887; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15774888
【教研教改】,福州大学关于公布2023级数理金融实验班 学生主辅修专业及导师名单的通知,2025-04-09,https://jwch.fzu.edu.cn/info/1037/13986.htm,无附件,0,无
【质量办】,关于开展2025年春季学期本科实验教学专项检查的通知,2025-04-08,https://jwch.fzu.edu.cn/info/1040/13983.htm,附件.rar,602,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15773204
【质量办】,关于开展2024年新上岗教师课堂授课达标考核的通知,2025-04-07,https://jwch.fzu.edu.cn/info/1040/13982.htm,附件2：2024年新上岗教师课堂授课达标考核情况汇总表---需一式三份报教评中心.docx; 附件1：2024年福州大学新上岗教师达标培训班名单.xlsx,531; 928,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15771692; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15771690
【质量办】,关于举办福州大学第六十六场“教学有道”暨第一期智慧教学课程平台与AI智慧教学工具培训的通知,2025-04-07,https://jwch.fzu.edu.cn/info/1040/13981.htm,无附件,0,无
【实践科】,关于开展大学生校外实践教学基地检查评估工作的通知,2025-04-02,https://jwch.fzu.edu.cn/info/1039/13977.htm,附件1：福州大学大学生校外实践教学基地检查评估汇总表.xlsx; 附件2：福州大学大学生校外实践教学基地检查评估表.xlsx,677; 728,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15770743; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15770744
【教学运行】,关于2025年清明节放假课程调整的通知,2025-04-01,https://jwch.fzu.edu.cn/info/1036/13976.htm,无附件,0,无
【教学运行】,关于2024-2025学年第二学期《大学物理A（上）》、《大学物理B（上）》课程半期考试安排的通知,2025-04-01,https://jwch.fzu.edu.cn/info/1036/13974.htm,2402大物A上、B上半期考-4.13下午.xlsx,838,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15770526
【实践科】,关于组织开展第十八届中国大学生计算机设计大赛校内预选赛的通知,2025-03-31,https://jwch.fzu.edu.cn/info/1039/13973.htm,无附件,0,无
【实践科】,关于举办福州大学第二十二届程序设计竞赛暨校ACM/ICPC集训队选拔赛的通知,2025-03-24,https://jwch.fzu.edu.cn/info/1039/13948.htm,无附件,0,无
【教学运行】,关于2024-2025学年第二学期《概率论与数理统计》课程半期考试安排的通知,2025-03-24,https://jwch.fzu.edu.cn/info/1036/13947.htm,2402概率论半期考-4.13下午.xlsx,627,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15767966
【质量办】,关于举办第六十五场“教学有道”研讨活动的通知,2025-03-20,https://jwch.fzu.edu.cn/info/1040/13945.htm,无附件,0,无
【实践科】,关于举办福州大学第十六届企业经营模拟沙盘对抗赛的通知,2025-03-19,https://jwch.fzu.edu.cn/info/1039/13935.htm,附件：福州大学第十六届企业经营模拟沙盘对抗赛报名表.doc,1034,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15766807
【教学运行】,关于做好2025-2026学年第一学期排课准备工作的通知,2025-03-11,https://jwch.fzu.edu.cn/info/1036/13908.htm,无附件,0,无
【计划科】,关于2024-2025学年第二学期爱课程平台参加通识教育选修课学习的重要提示,2025-03-11,https://jwch.fzu.edu.cn/info/1038/13907.htm,无附件,0,无
【质量办】,关于举办福州大学第六十四场“教学有道”研讨活动的通知,2025-03-11,https://jwch.fzu.edu.cn/info/1040/13905.htm,无附件,0,无
【教学运行】,关于做好2025年3月退役复学学生转专业的通知,2025-03-10,https://jwch.fzu.edu.cn/info/1036/13904.htm,福州大学参军退伍复学后学生转专业审批表.doc; 福州大学本科生转专业管理实施办法 .doc,685; 668,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15764381; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15764380
【教学运行】,关于2024-2025学年第二学期重新学习选课、缴费的通知,2025-03-10,https://jwch.fzu.edu.cn/info/1036/13903.htm,无附件,0,无
【质量办】,关于开展2025年春季学期申请类督导听课工作的通知,2025-03-07,https://jwch.fzu.edu.cn/info/1040/13901.htm,附件：2025年春季学期申请类督导听课汇总表.docx,538,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15764095
【实践科】,关于举办福州大学第五届先进成图技术与产品信息建模创新大赛的通知,2025-03-06,https://jwch.fzu.edu.cn/info/1039/13900.htm,附件2：第五届福州大学先进成图技术与产品信息建模创新大赛报名表.xls,790,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15763874
【实践科】,关于举办福州大学第十四届大学生软件设计与服务外包创新创业竞赛的通知,2025-03-06,https://jwch.fzu.edu.cn/info/1039/13898.htm,无附件,0,无
【实践科】,关于做好创新创业实践与素质拓展学分认定工作的通知,2025-03-04,https://jwch.fzu.edu.cn/info/1039/13893.htm,附件1：本科生创新创业实践与素质拓展学分认定汇总表（2025年版）.docx; 附件2：本科生创新创业实践与素质拓展学分认定申请表（2025年版）.docx,4090; 3363,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15763390; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15763405
【计划科】,关于公布2024-2025学年第二学期通选课取消开课名单的通知,2025-03-03,https://jwch.fzu.edu.cn/info/1038/13890.htm,无附件,0,无
【综合科】,关于2024-2025学年第二学期本科生学生证补办和火车票优惠区间更改的通知,2025-02-24,https://jwch.fzu.edu.cn/info/1035/13884.htm,无附件,0,无
【质量办】,关于推荐遴选校级本科教学督导员的通知,2025-02-24,https://jwch.fzu.edu.cn/info/1040/13883.htm,附件：福州大学本科教学督导员推荐表.docx,578,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761796
【质量办】,关于开学第一周集中听课的通知,2025-02-23,https://jwch.fzu.edu.cn/info/1040/13882.htm,附件1：福州大学课堂教学质量评估表.doc; 附件2：福州大学课堂教学质量评估表（思政课）.docx; 附件3：2024-2025学年第二学期第一周课表.xlsx; 附件4：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc,574; 505; 746; 560,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761249; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761250; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761251; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761252
【教学运行】,关于2024-2025第二学期学期选课、辅修选课补退选和缴费的通知,2025-02-23,https://jwch.fzu.edu.cn/info/1036/13881.htm,无附件,0,无
【计划科】,关于2024-2025学年第二学期港澳台侨学生思政课和军事课程退选替代的通知,2025-02-22,https://jwch.fzu.edu.cn/info/1038/13880.htm,2024-2025学年第二学期国情课列表.docx,1211,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761212
【计划科】,关于通识教育选修课《国际化拔尖创新人才科研训练2025春》宣讲会及选课的通知,2025-02-22,https://jwch.fzu.edu.cn/info/1038/13879.htm,2025年春季国际化拔尖创新人才科研训练具体课程清单.xlsx,2042,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761347
【计划科】,关于2024级学生参加2024-2025学年第二学期《大学生国家安全教育》课程学习的通知,2025-02-22,https://jwch.fzu.edu.cn/info/1038/13878.htm,超星尔雅使用手册（学生版）.pdf,1206,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761200
【计划科】,关于2024-2025学年第二学期通识教育选修课选课的通知,2025-02-22,https://jwch.fzu.edu.cn/info/1038/13877.htm,超星尔雅使用手册（学生版）.pdf; 慕课堂学生操作手册.pdf; 智慧树学生手册2025春夏.pptx,2246; 2950; 2098,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761197; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761198; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761199
【教材中心】,关于2024-2025学年第二学期教材发放的通知,2025-02-22,https://jwch.fzu.edu.cn/info/1042/13876.htm,无附件,0,无
【综合科】,关于召开2024-2025学年春季学期期初本科教育教学工作会议的通知,2025-02-22,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13875,无附件,0,无
【综合科】,教务处关于2025年寒假用印安排的通知,2025-01-18,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13871,无附件,0,无
【教研教改】,福州大学关于收集线上课程资源需求的通知（2025年）,2025-01-15,https://jwch.fzu.edu.cn/info/1037/13861.htm,无附件,0,无
【实践科】,关于做好第三十一期本科生科研训练计划项目立项申报工作的通知,2025-01-13,https://jwch.fzu.edu.cn/info/1039/13858.htm,第31期SRTP附件.zip,4326,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15756794
【计划科】,关于印发《福州大学本科生课程替代与学分认定管理实施办法》的通知,2025-01-10,https://jwch.fzu.edu.cn/info/1038/13857.htm,无附件,0,无
【教学运行】,关于2025年春季学期《大学物理实验A（上）》、《大学物理实验C》绪论课程教室安排的通知,2025-01-08,https://jwch.fzu.edu.cn/info/1036/13853.htm,2025年春季学期《大学物理实验A（上）》、《大学物理实验C》绪论课安排.xlsx,1403,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15756207
【教学运行】,关于2024-2025学年第二学期辅修专业选课的通知,2025-01-07,https://jwch.fzu.edu.cn/info/1036/13852.htm,无附件,0,无
【教学运行】,关于2025届预计毕业生校对电子注册学历照片的通知,2025-01-07,https://jwch.fzu.edu.cn/info/1036/13851.htm,无附件,0,无
【教学通知】,关于召开2024-2025学年秋季学期期末本科教育教学工作会议的通知,2025-01-04,https://jwch.fzu.edu.cn/info/1012/13848.htm,无附件,0,无
【综合科】,关于召开2024-2025学年秋季学期期末本科教育教学工作会议的通知,2025-01-04,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13847,无附件,0,无
【计划科】,关于核对2024-2025学年第二学期通识教育选修课开课信息的有关通知,2025-01-02,https://jwch.fzu.edu.cn/info/1038/13841.htm,无附件,0,无
【教学运行】,福州大学关于印发授予普通全日制学生学士学位工作细则的通知,2024-12-31,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=13842,无附件,0,无
【教材中心】,关于开展2025年拟出版本科教材审核工作的通知,2024-12-31,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13840,无附件,0,无
【实践科】,关于对2024年学院教学有关数据进行统计的通知,2024-12-30,https://jwch.fzu.edu.cn/info/1039/13836.htm,2024年学院教学有关数据统计表格.zip,973,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742546
【实践科】,关于举办福州大学第十一届桥梁设计大赛的通知,2024-12-30,https://jwch.fzu.edu.cn/info/1039/13834.htm,附件2：福州大学第十一届桥梁设计大赛报名表.doc; 附件3：福州大学第十一届桥梁设计大赛-竞赛细则.doc,819; 1284,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742381; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742380
【教学运行】,关于2024-2025学年第一学期《大学物理A（下）》和《大学物理B（下）》课程期末考试安排的通知,2024-12-29,https://jwch.fzu.edu.cn/info/1036/13833.htm,2401大学物理A下、B下期末考-1.17上午.xlsx,807,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742324
